worker.log:2:INFO 2019-01-22 00:02:00,945 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:7:INFO 2019-01-22 00:02:15,962 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:12:INFO 2019-01-22 00:02:32,964 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:17:INFO 2019-01-22 00:03:06,962 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:22:INFO 2019-01-22 00:03:18,897 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:27:INFO 2019-01-22 00:03:30,878 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:32:INFO 2019-01-22 00:03:42,826 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:37:INFO 2019-01-22 00:03:54,752 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:42:INFO 2019-01-22 00:04:06,747 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:47:INFO 2019-01-22 00:04:21,725 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
worker.log:53:INFO 2019-01-22 00:06:43,805 usa_modify_time usa_modify_time.py:156 13338 140123900266304 b506ba4c00ef1ffcd7317fcc0718edf0 当前所有可预约时间:{'10:30 Thursday March 7, 2019': 'a020h00001DSLKTAA5', '13:30 Tuesday March 5, 2019': 'a020h00001Ce4XYAAZ', '13:30 Thursday March 7, 2019': 'a020h00001DSLKLAA5', '14:00 Thursday March 7, 2019': 'a020h00001DSLKMAA5', '15:30 Tuesday March 5, 2019': 'a020h00001Ce4XkAAJ', '13:00 Thursday March 7, 2019': 'a020h00001DSLKVAA5', '08:30 Tuesday March 5, 2019': 'a020h00001Ce4XLAAZ', '15:00 Tuesday March 5, 2019': 'a020h00001Ce4XjAAJ', '07:30 Thursday March 7, 2019': 'a020h00001DSLK1AAP', '07:30 Wednesday March 6, 2019': 'a020h00001DSLY0AAP', '09:30 Wednesday March 6, 2019': 'a020h00001DSLXqAAP', '09:00 Tuesday March 5, 2019': 'a020h00001Ce4XMAAZ', '09:00 Wednesday March 6, 2019': 'a020h00001DSLXpAAP', '08:00 Tuesday March 5, 2019': 'a020h00001Ce4XIAAZ', '14:30 Tuesday March 5, 2019': 'a020h00001Ce4XaAAJ', '07:30 Tuesday March 5, 2019': 'a020h00001Ce4XEAAZ', '08:30 Thursday March 7, 2019': 'a020h00001DSLK8AAP', '09:00 Thursday March 7, 2019': 'a020h00001DSLK9AAP', '09:30 Thursday March 7, 2019': 'a020h00001DSLKFAA5', '10:00 Wednesday March 6, 2019': 'a020h00001DSLY9AAP', '08:30 Wednesday March 6, 2019': 'a020h00001DSLXoAAP', '14:00 Tuesday March 5, 2019': 'a020h00001Ce4XZAAZ', '11:00 Wednesday March 6, 2019': 'a020h00001DSLYBAA5', '13:00 Tuesday March 5, 2019': 'a020h00001Ce4XiAAJ', '10:30 Wednesday March 6, 2019': 'a020h00001DSLYAAA5', '11:00 Thursday March 7, 2019': 'a020h00001DSLKaAAP', '08:00 Thursday March 7, 2019': 'a020h00001DSLK5AAP', '10:00 Thursday March 7, 2019': 'a020h00001DSLKSAA5', '16:00 Tuesday March 5, 2019': 'a020h00001Ce4XoAAJ', '08:00 Wednesday March 6, 2019': 'a020h00001DSLXnAAP'}
