worker.log.2019-01-03:1451:INFO 2019-01-03 18:02:00,821 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1457:INFO 2019-01-03 18:02:06,723 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1463:INFO 2019-01-03 18:02:12,655 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1469:INFO 2019-01-03 18:02:18,339 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1475:INFO 2019-01-03 18:02:24,378 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1481:INFO 2019-01-03 18:02:29,995 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1487:INFO 2019-01-03 18:02:35,769 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1493:INFO 2019-01-03 18:02:41,409 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1499:INFO 2019-01-03 18:02:46,964 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1505:INFO 2019-01-03 18:02:52,654 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
worker.log.2019-01-03:1511:INFO 2019-01-03 18:02:58,488 usa_modify_time usa_modify_time.py:150 21371 140068106266432 797865374a83661de7e1223e98bbf152 当前所有可预约时间:{'07:30 Thursday January 17, 2019': 'a020h00001C2TjIAAV', '08:15 Friday January 18, 2019': 'a020h00001C2TmoAAF', '15:00 Tuesday January 22, 2019': 'a020h00001DSGFYAA5', '08:30 Tuesday January 22, 2019': 'a020h00001C2TfOAAV', '08:00 Thursday January 17, 2019': 'a020h00001C2TjKAAV', '08:00 Tuesday January 22, 2019': 'a020h00001C2TfMAAV', '14:15 Tuesday January 22, 2019': 'a020h00001C2TfjAAF', '07:30 Friday January 18, 2019': 'a020h00001C2TmlAAF', '07:45 Tuesday January 22, 2019': 'a020h00001C2TfLAAV', '13:00 Tuesday January 22, 2019': 'a020h00001C2TfeAAF', '14:45 Tuesday January 22, 2019': 'a020h00001DRrBSAA1', '09:15 Tuesday January 22, 2019': 'a020h00001C2TfRAAV', '07:45 Friday January 18, 2019': 'a020h00001C2TmmAAF', '09:00 Tuesday January 22, 2019': 'a020h00001C2TfQAAV', '08:45 Tuesday January 22, 2019': 'a020h00001C2TfPAAV', '07:45 Wednesday January 23, 2019': 'a020h00001C2TheAAF', '08:00 Friday January 18, 2019': 'a020h00001C2TmnAAF', '13:15 Tuesday January 22, 2019': 'a020h00001C2TffAAF', '12:30 Tuesday January 22, 2019': 'a020h00001C2TfcAAF', '08:15 Tuesday January 22, 2019': 'a020h00001C2TfNAAV', '13:45 Tuesday January 22, 2019': 'a020h00001C2TfhAAF', '12:45 Tuesday January 22, 2019': 'a020h00001C2TfdAAF', '14:30 Tuesday January 22, 2019': 'a020h00001C2TfkAAF', '08:30 Thursday January 17, 2019': 'a020h00001C2TjMAAV', '07:30 Wednesday January 23, 2019': 'a020h00001C2ThdAAF', '08:00 Wednesday January 23, 2019': 'a020h00001C2ThfAAF', '08:15 Wednesday January 23, 2019': 'a020h00001C2ThgAAF', '07:30 Tuesday January 22, 2019': 'a020h00001C2TfKAAV', '13:30 Tuesday January 22, 2019': 'a020h00001C2TfgAAF', '07:45 Thursday January 17, 2019': 'a020h00001C2TjJAAV'}
