worker.log.2019-01-21:13:INFO 2019-01-21 12:47:30,720 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:18:INFO 2019-01-21 12:47:42,624 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:23:INFO 2019-01-21 12:47:54,531 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:28:INFO 2019-01-21 12:48:07,436 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:33:INFO 2019-01-21 12:48:22,353 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:38:INFO 2019-01-21 12:50:57,481 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:43:INFO 2019-01-21 12:51:14,583 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:48:INFO 2019-01-21 12:51:27,504 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:53:INFO 2019-01-21 12:54:27,596 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:58:INFO 2019-01-21 12:54:39,504 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
worker.log.2019-01-21:64:INFO 2019-01-21 12:54:55,436 usa_modify_time usa_modify_time.py:156 13339 140649911904064 1f285af3ec6a3f438fb75cc1fc31f233 当前所有可预约时间:{'08:00 Friday February 1, 2019': 'a020h00001DVlr9AAD', '10:00 Friday February 1, 2019': 'a020h00001DVlrHAAT', '08:30 Thursday January 31, 2019': 'a020h000018ty6fAAA', '08:15 Monday February 11, 2019': 'a020h00001DYLXCAA5', '08:15 Friday February 1, 2019': 'a020h00001DVlrAAAT', '09:00 Monday February 11, 2019': 'a020h00001DYLXFAA5', '08:15 Wednesday January 30, 2019': 'a020h00001DVlSSAA1', '08:15 Monday January 28, 2019': 'a020h00001DVlTsAAL', '08:45 Thursday January 31, 2019': 'a020h000018ty6gAAA', '08:30 Tuesday January 29, 2019': 'a020h00001DVlSwAAL', '09:45 Wednesday January 30, 2019': 'a020h00001DVlSYAA1', '08:00 Thursday January 31, 2019': 'a020h000018ty6dAAA', '08:00 Wednesday January 30, 2019': 'a020h00001DVlSRAA1', '09:00 Thursday January 31, 2019': 'a020h000018ty6hAAA', '09:00 Friday February 1, 2019': 'a020h00001DVlrDAAT', '08:45 Tuesday January 29, 2019': 'a020h00001DVlSxAAL', '08:45 Friday February 1, 2019': 'a020h00001DVlrCAAT', '08:00 Monday January 28, 2019': 'a020h00001DVlTrAAL', '09:00 Wednesday January 30, 2019': 'a020h00001DVlSVAA1', '09:45 Friday February 1, 2019': 'a020h00001DVlrGAAT', '10:00 Wednesday January 30, 2019': 'a020h00001DVlSZAA1', '08:45 Monday February 11, 2019': 'a020h00001DYLXEAA5', '08:45 Wednesday January 30, 2019': 'a020h00001DVlSUAA1', '08:00 Tuesday January 29, 2019': 'a020h00001DVlSuAAL', '08:30 Monday February 11, 2019': 'a020h00001DYLXDAA5', '08:15 Tuesday January 29, 2019': 'a020h00001DVlSvAAL', '08:15 Thursday January 31, 2019': 'a020h000018ty6eAAA', '08:30 Friday February 1, 2019': 'a020h00001DVlrBAAT', '08:30 Wednesday January 30, 2019': 'a020h00001DVlSTAA1', '08:00 Monday February 11, 2019': 'a020h00001DYLXBAA5'}
