worker.log.2019-01-19:1196:INFO 2019-01-19 13:47:32,160 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '10:45 Monday January 28, 2019': 'a020h00001COOtyAAH', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '10:30 Monday January 28, 2019': 'a020h00001COOtxAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH', '10:15 Monday January 28, 2019': 'a020h00001COOtwAAH'}
worker.log.2019-01-19:1201:INFO 2019-01-19 13:47:38,052 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '10:45 Monday January 28, 2019': 'a020h00001COOtyAAH', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '10:30 Monday January 28, 2019': 'a020h00001COOtxAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH', '10:15 Monday January 28, 2019': 'a020h00001COOtwAAH'}
worker.log.2019-01-19:1206:INFO 2019-01-19 13:47:42,975 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '10:45 Monday January 28, 2019': 'a020h00001COOtyAAH', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '10:30 Monday January 28, 2019': 'a020h00001COOtxAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH', '10:15 Monday January 28, 2019': 'a020h00001COOtwAAH'}
worker.log.2019-01-19:1211:INFO 2019-01-19 13:47:48,921 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '10:45 Monday January 28, 2019': 'a020h00001COOtyAAH', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '10:30 Monday January 28, 2019': 'a020h00001COOtxAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH', '10:15 Monday January 28, 2019': 'a020h00001COOtwAAH'}
worker.log.2019-01-19:1216:INFO 2019-01-19 13:49:21,953 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
worker.log.2019-01-19:1221:INFO 2019-01-19 13:49:30,859 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
worker.log.2019-01-19:1226:INFO 2019-01-19 13:49:35,823 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
worker.log.2019-01-19:1231:INFO 2019-01-19 13:49:40,980 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
worker.log.2019-01-19:1236:INFO 2019-01-19 13:52:11,037 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
worker.log.2019-01-19:1241:INFO 2019-01-19 13:52:18,938 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
worker.log.2019-01-19:1247:INFO 2019-01-19 13:52:24,896 usa_modify_time usa_modify_time.py:156 22717 140668892747584 97b36bbcb08bf3f0007563c2c17e5f51 当前所有可预约时间:{'11:00 Thursday January 24, 2019': 'a020h00001COOsbAAH', '10:15 Thursday January 24, 2019': 'a020h00001COOsYAAX', '08:00 Friday January 25, 2019': 'a020h00001COOtQAAX', '09:15 Thursday January 24, 2019': 'a020h00001COOsUAAX', '08:15 Thursday January 24, 2019': 'a020h00001COOsQAAX', '11:45 Thursday January 24, 2019': 'a020h00001DSGLCAA5', '09:45 Friday January 25, 2019': 'a020h00001COOtDAAX', '08:30 Thursday January 24, 2019': 'a020h00001COOsRAAX', '11:30 Friday January 25, 2019': 'a020h00001DSGQDAA5', '10:00 Thursday January 24, 2019': 'a020h00001COOsXAAX', '08:15 Friday January 25, 2019': 'a020h00001COOt7AAH', '09:30 Monday January 28, 2019': 'a020h00001COOttAAH', '08:15 Monday January 28, 2019': 'a020h00001COOtoAAH', '10:00 Monday January 28, 2019': 'a020h00001COOtvAAH', '08:00 Monday January 28, 2019': 'a020h00001COOu7AAH', '10:15 Friday January 25, 2019': 'a020h00001COOtFAAX', '11:30 Thursday January 24, 2019': 'a020h00001DSGL7AAP', '08:00 Thursday January 24, 2019': 'a020h00001COOsjAAH', '08:30 Monday January 28, 2019': 'a020h00001COOtpAAH', '11:15 Thursday January 24, 2019': 'a020h00001COOssAAH', '09:00 Thursday January 24, 2019': 'a020h00001COOsTAAX', '10:45 Thursday January 24, 2019': 'a020h00001COOsaAAH', '09:15 Monday January 28, 2019': 'a020h00001COOtsAAH', '09:30 Thursday January 24, 2019': 'a020h00001COOsVAAX', '09:00 Friday January 25, 2019': 'a020h00001COOtAAAX', '09:45 Thursday January 24, 2019': 'a020h00001COOsWAAX', '10:30 Thursday January 24, 2019': 'a020h00001COOsZAAX', '08:30 Friday January 25, 2019': 'a020h00001COOt8AAH', '11:45 Friday January 25, 2019': 'a020h00001DSGQIAA5', '09:45 Monday January 28, 2019': 'a020h00001COOtuAAH'}
